用户选择,建表决定,采集状态,建议,建议目标表,类别,模块,section,metric_key,字段名,口径,data_type,单位,facts数,样本值,命中端点,catalog端点,source_keys,source_paths样本,证据文件,备注
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,order_submit_user,订单提交人数,ota_channel,business,,0,,,homepage_realtime,"orderSubmitNum, submitUsers, submitNum",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,page_views,昨日浏览量,ota_channel,business,,0,,,homepage_realtime,"pvDataList, pageViewDataList, PV, pv, pageViews",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,psi_score,PSI服务质量分,ota_channel,business,,0,,,homepage_realtime,"psi, PSI, psiScore, qualityscore, serviceScore, totalScore",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,首页实时概览,homepage,qunar_competitor_avg_visitor,去哪儿竞争圈平均访客,ota_channel,business,,0,,,homepage_realtime,qunarCompetitorAvgNumber,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,首页实时概览,homepage,qunar_visitor_rank,去哪儿访客排名,ota_channel,business,,0,,,homepage_realtime,qunarVisitorRank,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,reply_rank,回复排名,ota_channel,business,,0,,,homepage_realtime,"imScoreHtlrank, replyrate5mRank",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,reply_rate,5分钟回复率,ota_channel,business,,0,,,homepage_realtime,"replyrate5m, replyRate, fiveMinuteReplyRate",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,reward_score,奖励分,ota_channel,business,,0,,,homepage_realtime,"rewardScore, bonusScore",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,service_score,服务质量分,ota_channel,business,,0,,,homepage_realtime,serviceScore,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,service_score_rank,服务质量排名,ota_channel,business,,0,,,homepage_realtime,serviceScoreRank,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,source_name,流量来源,ota_channel,business,,0,,,homepage_realtime,"sourceName, sourceNameTag",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,首页实时概览,homepage,visitor_rank,访客排名,ota_channel,business,,0,,,homepage_realtime,visitorRank,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,avg_price,平均卖价,ota_channel,business,CNY,1,85.00,homepage_realtime,homepage_realtime,"averagePrice, synchronizationAveragePrice, avgPrice, adr, minPrice, MinPrice",data.realTimeDataItems.2.value,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,服务质量/IM,首页实时概览,homepage,comment_score_summary,点评分汇总,ota_channel,business,,1,4.8,homepage_realtime,homepage_realtime,"ctripRatingall, qunarRatingall, HotelRating, ratingall",data.realTimeDataItems.3.value,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,date,日期,ota_channel,business,,1,06/02 12:53,homepage_realtime,homepage_realtime,"date, dataDate, effectDate, effectTime, statDate, startDate, endDate, updateTime",data.updateTime,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,hotel_id,酒店ID,ota_channel,business,,6,130375105 / 130375105 / 15569994 / 15569994 / 130375105 / 130375105,homepage_realtime,homepage_realtime,"hotelId, hotel_id, masterHotelId, masterhotelid, hotelID",data.lossOrderDetail.lossOrderDetailExList.0.hotelId | data.lossOrderDetail.lossOrderDetailExList.1.hotelId | data.lossOrderDetail.lossOrderDetailExList.2.hotelId,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,hotel_name,酒店名称,ota_channel,business,,3,柏曼酒店（西安北站红会医院店） / 汉龙酒店(西安高铁北站凤城九路地铁站店) / 柏曼酒店（西安北站红会医院店）,homepage_realtime,homepage_realtime,"hotelName, hotel_name, name",data.lossOrderDetail.lossOrderDetailExList.0.hotelName | data.lossOrderDetail.lossOrderDetailExList.1.hotelName | data.lossOrderDetail.lossOrderDetailExList.2.hotelName,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,竞争圈,首页实时概览,homepage,loss_order_count,流失订单数,ota_channel,business,,1,9,homepage_realtime,homepage_realtime,lossOrderCount,data.lossOrderDetail.lossOrderCount,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,order_amount,预订销售额,ota_channel,business,CNY,4,180.00 / 396.00 / 118.00 / 347.00,homepage_realtime,homepage_realtime,"amount, bookAmount, synchronizationBookAmount, orderAmount, saleAmount, ordamount, totalAmount, bookingAmount, OrderAmount",data.realTimeDataItems.1.value | data.lossOrderDetail.lossOrderDetailExList.0.amount | data.lossOrderDetail.lossOrderDetailExList.1.amount | data.lossOrderDetail.lossOrderDetailExList.2.amount,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,order_count,预订订单数,ota_channel,business,,1,2,homepage_realtime,homepage_realtime,"orderQuantity, synchronizationOrderQuantity, bookOrderNum, orderCount, orderNum, ordquantity, bookingCount",data.realTimeDataItems.5.value,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,竞争圈,首页实时概览,homepage,rank,竞争圈排名,ota_channel,business,,21,52 / 52 / 13/26 / 40 / 40 / 16/26,homepage_realtime,homepage_realtime,"rank, rank2, visitorRank, rankOfAmount, rankOfOrderQuantity, competitorRank, ranking",data.realTimeDataItems.0.rank | data.realTimeDataItems.0.rank2 | data.realTimeDataItems.1.rank | data.realTimeDataItems.1.rank2,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,room_nights,间夜量,ota_channel,business,,1,4,homepage_realtime,homepage_realtime,"quantity, bookQuantity, synchronizationBookQuantity, roomNights, nightNum, occupiedRooms, checkOutQuantity, OccupiedRooms",data.realTimeDataItems.4.value,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,target_url,页面跳转地址,ota_channel,business,,1,/datacenter/inland/marketanalysis/flowanalysis,homepage_realtime,homepage_realtime,targetUrl,data.lossOrderDetail.targetUrl,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,收益销售,首页实时概览,homepage,tensity,紧张度,ota_channel,business,,1,6.15%,homepage_realtime,homepage_realtime,"tensityScore, tensity, Tensity, nowTensityDetail",data.realTimeDataItems.6.value,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_realtime_daily,流量转化,首页实时概览,homepage,visitor_count,访客量,ota_channel,business,,1,13,homepage_realtime,homepage_realtime,"lastVisitorTotal, visitorTotal, UV, uv, visitorCount, pageViews",data.realTimeDataItems.0.value,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,仅代表携程OTA渠道口径
,,未采到-本轮未触发,暂不建表,,收益销售,经营报告-概要,business_overview,advice_count,经营提醒数量,ota_channel,quality,,0,,,hotel_advice,"goodhotelAdviceEntityList, badhotelAdviceEntityList",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,经营报告-概要,business_overview,base_score,基础分,ota_channel,business,,0,,,business_service_quantity,"baseScore, basicScore",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,用户行为,经营报告-概要,business_overview,booking_days,提前预订天数,ota_channel,business,,0,,,weekly_report,"bookingDays, advanceDays, leadTime",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,经营报告-概要,business_overview,competitor_number,竞争圈酒店数,ota_channel,business,,0,,,business_flow_compete,competitorNumber,,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,经营报告-概要,business_overview,config_name,配置名称,ota_channel,business,,0,,,"platform_resource_popups, platform_notifications","configName, configKey, key, code",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,经营报告-概要,business_overview,keyword,搜索关键词,ota_channel,business,,0,,,"business_realtime, business_flow_compete, business_visitor_title, business_flow_transform, weekly_report","keyword, searchKeyword, filterWords",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,经营报告-概要,business_overview,notice_text,提示内容,ota_channel,business,,0,,,"platform_resource_popups, platform_notifications","content, message, text, tips, tip, description, desc",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,经营报告-概要,business_overview,page_views,昨日浏览量,ota_channel,business,,0,,,"business_realtime, business_flow_compete, business_visitor_title, business_flow_transform, weekly_report","pvDataList, pageViewDataList, PV, pv, pageViews",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,经营报告-概要,business_overview,price_band,消费档位,ota_channel,business,,0,,,weekly_report,"price, priceInfo, priceBand",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,经营报告-概要,business_overview,qunar_visitor_rank,去哪儿访客排名,ota_channel,business,,0,,,"business_realtime, business_flow_compete, business_visitor_title, business_flow_transform, weekly_report",qunarVisitorRank,,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,经营报告-概要,business_overview,reward_score,奖励分,ota_channel,business,,0,,,business_service_quantity,"rewardScore, bonusScore",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,经营报告-概要,business_overview,source_name,流量来源,ota_channel,business,,0,,,"business_realtime, business_flow_compete, business_visitor_title, business_flow_transform, weekly_report","sourceName, sourceNameTag",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,用户行为,经营报告-概要,business_overview,stay_days,入住天数,ota_channel,business,,0,,,weekly_report,"stayDays, stayLength",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,经营报告-概要,business_overview,strategy,提升策略,ota_channel,business,,0,,,weekly_report,"strategy, suggestion, imageList",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,经营报告-概要,business_overview,tensity,紧张度,ota_channel,business,,0,,,"business_realtime, business_capacity, business_market_overview, business_flow_compete, weekly_report","tensityScore, tensity, Tensity, nowTensityDetail",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,用户行为,经营报告-概要,business_overview,user_age,年龄段,ota_channel,business,,0,,,weekly_report,"age, ageRange, userAge",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,用户行为,经营报告-概要,business_overview,user_sex,用户性别,ota_channel,business,,0,,,weekly_report,"sex, gender, userSex",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,用户行为,经营报告-概要,business_overview,user_source,客源来源,ota_channel,business,,0,,,weekly_report,"source, userSource, cityName",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,用户行为,经营报告-概要,business_overview,user_type,用户类型,ota_channel,business,,0,,,weekly_report,"userType, travelType",,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,本轮未形成可用标准字段，不能用兜底值代替
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,收益销售,经营报告-概要,business_overview,advice_text,经营建议,ota_channel,quality,,12,点评分近期下降0.01分 / 与7天内最高分数相比，今日点评分下降0.01分。提高服务质量，吸引用户自发好评。 / 查看点评分析 / 存在欠票情况 / 当前欠票337.07元，请在打款截止日之前完成支付，以免造成额外影响。 / 支付欠票,hotel_advice,hotel_advice,"tasktext, taskname, taskbutton",data.badhotelAdviceEntityList.0.taskname | data.badhotelAdviceEntityList.0.tasktext | data.badhotelAdviceEntityList.0.taskbutton | data.badhotelAdviceEntityList.1.taskname,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,竞争圈,经营报告-概要,business_overview,amount_rank,预订销售额排名,ota_channel,business,,26,6 / 2 / 22 / 21 / 8 / 24,weekly_compete_report,weekly_compete_report,amount,data.0.amount | data.1.amount | data.2.amount | data.3.amount,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,收益销售,经营报告-概要,business_overview,avg_price,平均卖价,ota_channel,business,CNY,2,77 / 90.5,business_market_overview,"business_realtime, business_capacity, business_market_overview, business_flow_compete, weekly_report","averagePrice, synchronizationAveragePrice, avgPrice, adr, minPrice",data.averagePrice | data.synchronizationAveragePrice,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,服务质量/IM,经营报告-概要,business_overview,bad_review_tag,差评标签,ota_channel,business,,1,房间很干净,business_service_quantity,business_service_quantity,"dingPingEntityList, tag",data.dingPingEntityList.0.tag,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,服务质量/IM,经营报告-概要,business_overview,comment_score_rank,点评分排名,ota_channel,business,,26,4 / 9 / 1 / 26 / 18 / 18,weekly_compete_report,weekly_compete_report,commentScore,data.0.commentScore | data.1.commentScore | data.2.commentScore | data.3.commentScore,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,服务质量/IM,经营报告-概要,business_overview,comment_score_summary,点评分汇总,ota_channel,business,,1,4.83,business_service_quantity,business_service_quantity,"ctripRatingall, qunarRatingall, HotelRating, ratingall",data.ctripRatingall,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,竞争圈,经营报告-概要,business_overview,competitor_average,竞争圈平均值,ota_channel,business,,2,37 / 10,business_capacity,"business_realtime, business_capacity, business_market_overview, business_flow_compete, weekly_report","competitorsAverageOrderQuantity, competitorsAverageOccupiedRooms, competitorAvgNumber, competitorTensityScore",competitorsAverageOccupiedRooms | competitorsAverageOrderQuantity,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,竞争圈,经营报告-概要,business_overview,competitor_avg_visitor,竞争圈平均访客,ota_channel,business,,1,135,business_visitor_title,"business_realtime, business_flow_compete, business_visitor_title, business_flow_transform, weekly_report",competitorAvgNumber,competitorAvgNumber,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,竞争圈,经营报告-概要,business_overview,competitor_orders,竞品订单,ota_channel,business,,1,20,business_flow_compete,business_flow_compete,ordquantity,data.ordquantity,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,竞争圈,经营报告-概要,business_overview,competitor_revenue,竞品收入,ota_channel,business,CNY,1,4006,business_flow_compete,business_flow_compete,ordamount,data.ordamount,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,竞争圈,经营报告-概要,business_overview,competitor_visitor,竞品访客,ota_channel,business,,1,137,business_flow_compete,business_flow_compete,comhtluv,data.comhtluv,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,收益销售,经营报告-概要,business_overview,config_value,配置值,ota_channel,business,,14,a57e6a8b-eda5-9108-a7ef-b97563c9a85c / 100025527-0a7d7e59-494548-3097241 / f812f815-bdd7-90e8-b2f5-0999b3d7423a / 100025527-0a3898cb-494548-2933660 / 3bb608a6-2c41-90df-b5b0-7fc354eb5b58 / 100025527-0a61e2da-494548-2935380,"platform_resource_popups, platform_notifications","platform_resource_popups, platform_notifications","configValue, value, Value",ResponseStatus.Extension.0.Value | ResponseStatus.Extension.1.Value,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,收益销售,经营报告-概要,business_overview,conversion_rate,成交/下单转化率,ota_channel,business,,2,20 / 50,business_market_overview,"business_realtime, business_capacity, business_market_overview, business_flow_compete, weekly_report","orderConversionRate, closeRate, conversionRate, convertionRate, cvr",data.orderConversionRate | data.closeRate,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,竞争圈,经营报告-概要,business_overview,conversion_rate_rank,APP转化率排名,ota_channel,business,,26,19 / 24 / 14 / 13 / 7 / 5,weekly_compete_report,weekly_compete_report,"convertionRate, conversionRate",data.0.convertionRate | data.1.convertionRate | data.2.convertionRate | data.3.convertionRate,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,广告推广,经营报告-概要,business_overview,ctrip_rating,携程评分,ota_channel,business,,1,4.83,business_service_quantity,business_service_quantity,ctripRatingall,data.ctripRatingall,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,收益销售,经营报告-概要,business_overview,date,日期,ota_channel,traffic,,2,2026-06-01 / 2026-06-01,business_flow_transform,"platform_resource_popups, platform_notifications, hotel_advice, business_realtime, business_capacity, business_market_overview, business_flow_compete, business_visitor_title, business_hotel_seq, business_flow_transform, business_service_quantity, weekly_compete_report, weekly_report","date, dataDate, effectDate, effectTime, statDate, startDate, endDate, updateTime",0.date | 1.date,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,服务质量/IM,经营报告-概要,business_overview,deduct_score,减分项,ota_channel,business,,1,0,business_service_quantity,business_service_quantity,"deductScore, penaltyScore",data.penaltyScore,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,流量转化,经营报告-概要,business_overview,detail_visitor,详情页访客量,ota_channel,traffic,,2,24 / 270,business_flow_transform,"business_realtime, business_flow_compete, business_visitor_title, business_flow_transform, weekly_report","detailExposure, detailUv, detailVisitors",0.detailExposure | 1.detailExposure,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,收益销售,经营报告-概要,business_overview,diagnosis_level,评级,ota_channel,quality,,1,优秀,hotel_advice,hotel_advice,"scorelevel, level",data.scorelevel,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
,,已采到-门禁通过,建议建表候选,ota_ctrip_business_daily,收益销售,经营报告-概要,business_overview,diagnosis_score,数据诊断分,ota_channel,quality,,1,81,hotel_advice,hotel_advice,score,data.score,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,仅代表携程OTA渠道口径
