序号,状态,优先级,模块,section,endpoint_id,metric_key,字段名,缺口类型,expected_source_keys,你提供的页面URL/截图/操作备注,证据备注,证据文件,gap_id
21,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,qunar_visitor_rank,???????,???-?????,qunarVisitorRank,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,21
22,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,reply_rank,????,???-?????,"imScoreHtlrank, replyrate5mRank",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,22
23,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,reply_rate,5?????,???-?????,"replyrate5m, replyRate, fiveMinuteReplyRate",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,23
24,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,reward_score,???,???-?????,"rewardScore, bonusScore",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,24
25,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,service_score,?????,???-?????,serviceScore,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,25
26,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,service_score_rank,??????,???-?????,serviceScoreRank,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,26
27,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,source_name,????,???-?????,"sourceName, sourceNameTag",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,27
28,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,visitor_rank,????,???-?????,visitorRank,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,28
29,user_site_provided,已提供页面,经营报告-概要,business_overview,business_flow_compete,competitor_number,??????,???-?????,competitorNumber,https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true ; tab=??-??,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,32
30,user_site_provided,已提供页面,经营报告-概要,business_overview,business_realtime,keyword,?????,???-?????,"keyword, searchKeyword, filterWords",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,34
31,user_site_provided,已提供页面,经营报告-概要,business_overview,business_realtime,page_views,?????,???-?????,"pvDataList, pageViewDataList, PV, pv, pageViews",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,36
32,user_site_provided,已提供页面,经营报告-概要,business_overview,business_realtime,qunar_visitor_rank,???????,???-?????,qunarVisitorRank,https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,38
33,user_site_provided,已提供页面,经营报告-概要,business_overview,business_realtime,source_name,????,???-?????,"sourceName, sourceNameTag",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,40
34,user_site_provided,已提供页面,经营报告-概要,business_overview,business_realtime,tensity,???,???-?????,"tensityScore, tensity, Tensity, nowTensityDetail",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,43
35,user_site_provided,已提供页面,经营报告-概要,business_overview,business_service_quantity,base_score,???,???-?????,"baseScore, basicScore",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,30
36,user_site_provided,已提供页面,经营报告-概要,business_overview,business_service_quantity,reward_score,???,???-?????,"rewardScore, bonusScore",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,39
37,user_site_provided,已提供页面,经营报告-概要,business_overview,hotel_advice,advice_count,??????,???-?????,"goodhotelAdviceEntityList, badhotelAdviceEntityList",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true ; tab=??-??,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,29
38,user_site_provided,已提供页面,经营报告-概要,business_overview,platform_resource_popups,config_name,????,???-?????,"configName, configKey, key, code",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,33
39,user_site_provided,已提供页面,经营报告-概要,business_overview,platform_resource_popups,notice_text,????,???-?????,"content, message, text, tips, tip, description, desc",https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true,????????????????? 2026-06-02 ??????????? > ?? > ???URL=https://ebooking.ctrip.com/datacenter/inland/businessreport/outline?microJump=true??????????????????????????????????????????? 67??????? 30??????? 44???????? 25642.56????? 50???? 70.42%????? 512.85?????? 368????? 6?APP???????????????????????????????????Network ?? getHotelAdvice?getDayReportRealTimeDate?getDayReportFlowCompete?fetchCurrentHotelSeqInfoV1?fetchCapacityOverViewV4?fetchVisitorTitleV2?fetchMarketOverViewV2?queryFlowTransformNewV1?getDayReportServerQuantity?getEbkResourcePopups????????????????? XHR ?????,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,35
40,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,booking_days,??????,???-?????,"bookingDays, advanceDays, leadTime",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,31
41,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,price_band,????,???-?????,"price, priceInfo, priceBand",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,37
42,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,stay_days,????,???-?????,"stayDays, stayLength",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,41
43,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,strategy,????,???-?????,"strategy, suggestion, imageList",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,42
44,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,user_age,???,???-?????,"age, ageRange, userAge",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,44
45,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,user_sex,????,???-?????,"sex, gender, userSex",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,45
46,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,user_source,????,???-?????,"source, userSource, cityName",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,46
47,user_site_provided,已提供页面,经营报告-概要,business_overview,weekly_report,user_type,????,???-?????,"userType, travelType",https://ebooking.ctrip.com/datacenter/inland/businessreport/weekReport?microJump=true,"???????????????URL?Network?? getReportSuggestV1, getWeekSuggestionV1, getLastWeekReportV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1, getCompeteHotelReportV1?????????2026-05-25~2026-05-31?????32??????3086???????96.44?????26?????29??????2827?APP???????1397/10568/25561?????118/1901/4238??????16/153/366?????15/84/232??????XHR?????????",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json,47
48,user_site_provided,已提供页面,经营报告-销售数据,sales_report,sales_market_detail,avg_price,????,???-?????,"averagePrice, synchronizationAveragePrice, avgPrice, adr, minPrice",https://ebooking.ctrip.com/datacenter/inland/businessreport/beneficialdata?microJump=true,????????????????????2026-06-02???????-????-????????????/???????????????????????????2026-06-01????????8????8????645??????7????72.31%????20%?????????????????Network?? fetchTensityOverViewV1?queryHotelOccupiedRoomTrendV1?queryHotelTensitiesV1?getRoomOccupiedRoomTrend?queryRoomTensitiesV1?queryMarketRoomTensity?queryHotelMinPriceV1?fetchCapacityOverViewV4?queryMarketDetailsV1?queryOrderTrendV1?getEbkResourcePopups?reportInjectFnInfo?,ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json,48
49,user_site_provided,已提供页面,经营报告-销售数据,sales_report,sales_market_detail,conversion_rate,??/?????,???-?????,"orderConversionRate, closeRate, conversionRate, convertionRate, cvr",https://ebooking.ctrip.com/datacenter/inland/businessreport/beneficialdata?microJump=true,????????????????????2026-06-02???????-????-????????????/???????????????????????????2026-06-01????????8????8????645??????7????72.31%????20%?????????????????Network?? fetchTensityOverViewV1?queryHotelOccupiedRoomTrendV1?queryHotelTensitiesV1?getRoomOccupiedRoomTrend?queryRoomTensitiesV1?queryMarketRoomTensity?queryHotelMinPriceV1?fetchCapacityOverViewV4?queryMarketDetailsV1?queryOrderTrendV1?getEbkResourcePopups?reportInjectFnInfo?,ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json,49
50,user_site_provided,已提供页面,经营报告-销售数据,sales_report,sales_market_detail,order_amount,?????,???-?????,"amount, bookAmount, synchronizationBookAmount, orderAmount, saleAmount, ordamount, totalAmount, bookingAmount",https://ebooking.ctrip.com/datacenter/inland/businessreport/beneficialdata?microJump=true,????????????????????2026-06-02???????-????-????????????/???????????????????????????2026-06-01????????8????8????645??????7????72.31%????20%?????????????????Network?? fetchTensityOverViewV1?queryHotelOccupiedRoomTrendV1?queryHotelTensitiesV1?getRoomOccupiedRoomTrend?queryRoomTensitiesV1?queryMarketRoomTensity?queryHotelMinPriceV1?fetchCapacityOverViewV4?queryMarketDetailsV1?queryOrderTrendV1?getEbkResourcePopups?reportInjectFnInfo?,ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json,50
51,user_site_provided,已提供页面,经营报告-销售数据,sales_report,sales_market_detail,rank,?????,???-?????,"rank, rank2, visitorRank, rankOfAmount, rankOfOrderQuantity, competitorRank, ranking",https://ebooking.ctrip.com/datacenter/inland/businessreport/beneficialdata?microJump=true,????????????????????2026-06-02???????-????-????????????/???????????????????????????2026-06-01????????8????8????645??????7????72.31%????20%?????????????????Network?? fetchTensityOverViewV1?queryHotelOccupiedRoomTrendV1?queryHotelTensitiesV1?getRoomOccupiedRoomTrend?queryRoomTensitiesV1?queryMarketRoomTensity?queryHotelMinPriceV1?fetchCapacityOverViewV4?queryMarketDetailsV1?queryOrderTrendV1?getEbkResourcePopups?reportInjectFnInfo?,ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json,51
52,user_site_provided,已提供页面,经营报告-房型,room_type,room_competitive_market,avg_price,????,???-?????,"averagePrice, synchronizationAveragePrice, avgPrice, adr, minPrice",https://ebooking.ctrip.com/datacenter/inland/businessreport/beneficialdata?microJump=true ; tab=????-??,????????????????????2026-06-02???????-????-????????????/???????????????????4??????6.15%??????16/26?21/26???????????????????????????????????????????????????????????Network?? queryRoomTypeInfo?queryVendibilityRoom?queryCompetingHotelsV2?fetchCompetitiveMarket?,ctrip_section_trial_tiancheng_58_room_type_20260602124952.json,52
