"id","module","action","path","http_status","events","accounts","first_at","last_at","diagnosis_status","cause","next_step","local_status","local_action","local_evidence","evidence_ceiling","production_status","remaining"
"CF-11","security","protected_access_denied","api/revenue-ai/overview","403","165","12","2026-07-28 15:07:17","2026-09-05 20:37:45","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-12","online_data","save_form","api/online-data/fetch-ctrip","422","32","1","2026-08-31 22:37:27","2026-09-04 10:41:59","阶段已缩小，逐笔身份原因待证","32条均单日，无邻近落库任务；更支持身份校验/保存前门禁","保留identity_check和保存状态，不能去掉身份保护","身份保护保留并补原因；真实采集待验","保留返回酒店身份与保存门禁，补identity_check阶段及安全失败码","ManualFetchFailureReceiptTest实际执行回执与日期/回读失败审计; OtaCredentialReadPathTest; ManualFetchPersistenceStateTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","32条历史422逐笔身份原因不完整；授权后核对同酒店/日期的采集保存与回读"
"CF-13","online_data","save_form","api/online-data/save-meituan-config-item","500","21","1","2026-08-18 23:39:12","2026-09-02 16:49:12","服务端故障已确认，确切抛错未留存","catch(Throwable)丢失异常详情，仅返回保存失败；当前元数据检查无直接阻断项","补安全异常码和阶段，在授权保存场景复验","保存/回读与故障分类已验证；历史抛错待证","区分迁移、元数据及数据库故障；保存后刷新失败仍明确已保存并允许重读","OtaCredentialResponseTest保存/回滚/跨酒店/刷新失败回读; FailureEvidenceServiceTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史21条未保留确切异常；目标账号实际保存复验，真实凭据迁移未授权"
"CF-14","security","protected_access_denied","api/online-data/platform-profile-status","403","21","4","2026-07-28 10:47:48","2026-07-28 21:40:02","拒绝原因已确认，历史归因不完整","门店权限范围校验拒绝，均发生在7月28日","核对历史账号-门店授权，不绕过隔离","保留权限保护；历史授权原因待证","核验门店/租户拒绝路径；状态切换清理旧会话，不绕过权限","AuthHotelPermissionScopeTest; AuthLoginTenantIsolationTest; OtaCredentialResponseTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史授权快照缺失；核对账号、租户、目标门店及配置归属"
"CF-15","online_data","analyze_data","api/online-data/ctrip/order-analysis","404","20","2","2026-08-14 22:25:51","2026-08-16 11:24:59","早期失败，当前非持续故障","20次早期404之后有82条无错误读取；当前路由和实现存在","历史版本/路由原因尚未证实，避免按持续故障处理","当前非持续缺路由；历史部署根因未证","保留现有路由；历史20条失败后有82条无错误读取","线上审计及路由检查; CtripOrderAnalysisServiceTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","发布后普通账号查询复验；不虚构早期部署原因"
"CF-16","online_data","save_form","api/online-data/save-ctrip-config","403","14","3","2026-07-28 10:46:20","2026-07-28 21:54:10","历史权限拒绝，细分原因未留存","14次全部7月28日，原始权限和绑定快照缺失","核对目标账号与配置归属","保留权限保护；历史授权原因待证","核验门店/租户拒绝路径；状态切换清理旧会话，不绕过权限","AuthHotelPermissionScopeTest; AuthLoginTenantIsolationTest; OtaCredentialResponseTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史授权快照缺失；核对账号、租户、目标门店及配置归属"
"CF-17","security","protected_access_denied","api/online-data/auto-fetch-status","403","14","4","2026-07-28 10:47:48","2026-07-28 21:39:50","拒绝原因已确认，历史归因不完整","门店权限范围校验拒绝，均发生在7月28日","核对历史账号-门店授权，不绕过隔离","保留权限保护；历史授权原因待证","核验门店/租户拒绝路径；状态切换清理旧会话，不绕过权限","AuthHotelPermissionScopeTest; AuthLoginTenantIsolationTest; OtaCredentialResponseTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史授权快照缺失；核对账号、租户、目标门店及配置归属"
"CF-18","security","protected_access_denied","api/ota-standard/operation-optimizer","403","14","4","2026-08-14 21:56:15","2026-08-26 16:11:50","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-19","online_data","view_data","[dynamic_or_unrecorded_path]","404","11","4","2026-07-28 10:47:50","2026-09-02 16:21:22","当前缺上游快照已确认","实际路径phase3-operation-effect-loop；依赖的巡检快照当前不存在","显示未生成巡检结果与恢复入口","本地修复已验证；待线上复验","缺巡检快照返回409 blocked和生成巡检下一步，不再当缺路由","MissingPatrolResponseTest; Phase3OperationEffectLoopServiceTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","目标门店生成有权执行的巡检后回读效果结果；未生成真实快照"
"CF-20","security","rate_limited","api/ota-standard/revenue-metrics","429","11","1","2026-08-14 22:48:12","2026-08-14 22:56:03","规则已确认","AI决策读取触发30次/小时额度；与采集状态额度不同","复核调用频率、复用读取和429提示","本地修复已验证；待线上复验","状态独立读取额度；按Retry-After等待、网络退避、会话/门店隔离；保留其他AI额度并共享冷却","AuthMiddlewareAuditTest; FixedWindowRateLimiterTest; auto_fetch_progress_recovery; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","发布后复验普通账号真实任务的状态读取与结果"
"CF-21","security","rate_limited","api/agent/ota-diagnosis","429","10","1","2026-08-14 22:48:27","2026-08-14 22:56:03","规则已确认","AI决策读取触发30次/小时额度；与采集状态额度不同","复核调用频率、复用读取和429提示","本地修复已验证；待线上复验","状态独立读取额度；按Retry-After等待、网络退避、会话/门店隔离；保留其他AI额度并共享冷却","AuthMiddlewareAuditTest; FixedWindowRateLimiterTest; auto_fetch_progress_recovery; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","发布后复验普通账号真实任务的状态读取与结果"
"CF-22","security","protected_access_denied","api/ai-daily-reports/latest","403","9","3","2026-08-14 21:57:52","2026-09-01 16:56:06","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-23","hotel","save_form","api/hotels","409","8","1","2026-08-14 18:18:42","2026-09-02 16:26:47","合理冲突，高置信","8次请求均有早于失败时间创建的同名酒店","显示已有门店，不取消防重复保护","合理重名拒绝保留","409回执包含已存在门店，保留重名保护","线上8条冲突与现存记录; Hotel::duplicateHotelNameResponse源码","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","无需为消除错误数而重复建店；本次未创建酒店"
"CF-24","security","protected_access_denied","api/online-data/collection-reliability","403","8","3","2026-07-28 10:47:48","2026-07-28 21:38:52","拒绝原因已确认，历史归因不完整","门店权限范围校验拒绝，均发生在7月28日","核对历史账号-门店授权，不绕过隔离","保留权限保护；历史授权原因待证","核验门店/租户拒绝路径；状态切换清理旧会话，不绕过权限","AuthHotelPermissionScopeTest; AuthLoginTenantIsolationTest; OtaCredentialResponseTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史授权快照缺失；核对账号、租户、目标门店及配置归属"
"CF-25","online_data","ota_failure_notification_notification_write_failed","[dynamic_or_unrecorded_path]","unrecorded","4","1","2026-08-15 13:22:29","2026-08-23 17:51:51","异常已确认，具体异常未留存","采集授权异常后失败通知写入再次失败","补脱敏通知异常码与事务阶段","安全原因留存已验证；历史根因待证","通知写入阶段与数据库原因脱敏留存，日志异常不覆盖主回执","OtaFailureNotificationServiceTest SQLite触发器失败与审计回读","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","原4条缺错误正文；发布后核验实际数据库写入；未外发通知"
"CF-26","security","protected_access_denied","api/online-data/sync-logs","403","4","3","2026-07-28 10:48:22","2026-07-28 21:40:06","拒绝原因已确认，历史归因不完整","门店权限范围校验拒绝，均发生在7月28日","核对历史账号-门店授权，不绕过隔离","保留权限保护；历史授权原因待证","核验门店/租户拒绝路径；状态切换清理旧会话，不绕过权限","AuthHotelPermissionScopeTest; AuthLoginTenantIsolationTest; OtaCredentialResponseTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史授权快照缺失；核对账号、租户、目标门店及配置归属"
"CF-27","security","protected_access_denied","api/online-data/sync-tasks","403","4","3","2026-07-28 10:48:22","2026-07-28 21:40:06","拒绝原因已确认，历史归因不完整","门店权限范围校验拒绝，均发生在7月28日","核对历史账号-门店授权，不绕过隔离","保留权限保护；历史授权原因待证","核验门店/租户拒绝路径；状态切换清理旧会话，不绕过权限","AuthHotelPermissionScopeTest; AuthLoginTenantIsolationTest; OtaCredentialResponseTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史授权快照缺失；核对账号、租户、目标门店及配置归属"
"CF-28","security","protected_access_denied","api/operation/growth-archive/timeline","403","4","2","2026-08-29 16:18:57","2026-09-01 16:56:07","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-29","compass","view_data","api/compass","422","3","1","2026-08-16 17:45:20","2026-09-02 15:01:07","失败请求缺参已确认","3次都缺business_date；当前主调用已带日期","核对旧调用/缓存路径，保留明确业务日期","当前日期调用已存在；真实页面待验","保留当前明确business_date调用，不推断客户业务日期","app-main loadCompass源码及构建; CompassPermissionTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","原3条缺日期；真实账号页面日期联动尚未验收"
"CF-30","online_data","save_form","api/online-data/ctrip/traffic","400","3","2","2026-08-14 22:47:39","2026-08-21 07:42:11","分支未能逐笔确定","输入无效、上游失败和无可用业务数据均返回400","补失败阶段与具体业务错误码","安全上游分类已补；历史原因待证","上游HTTP/网页/登录状态分开，失败证据采用允许列表","ManualFetchFailureReceiptTest实际流量执行方法的302/403/429/401回执; cURL结果解析与正常JSON兼容","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","3条历史400无细节；真实目标日期请求及落库回读待授权验收"
"CF-31","security","protected_access_denied","api/operating-loop/reconcile","403","3","2","2026-08-28 18:29:08","2026-08-29 16:17:53","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-32","online_data","view_data","api/online-data/ctrip-profile-status","409","2","1","2026-08-31 22:20:35","2026-08-31 22:20:39","参数不匹配已确认","2次probe_login=1且未传data_source_id，后端在登录探测前拒绝","从已选数据源传ID或先引导绑定","本地修复已验证；待线上复验","概览探测携带绑定data_source_id；缺源先提示，不猜酒店/账号","customer_failure_access绑定来源与跨酒店/缺ID请求测试","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","发布后在已授权绑定账号复验；未操作真实Profile"
"CF-33","knowledge","view_data","api/knowledge/list","500","1","1","2026-08-31 22:18:56","2026-08-31 22:18:56","已用原失败关键词只读复现","whereOrLike导致ORM把DESCRIPTION解释为错误运算符；正确表达式SELECT对照通过","修改关键词查询表达式并验证门店范围","本地修复已验证；待线上复验","修正嵌套描述OR LIKE拼接，保留所有者和门店过滤","线上失败关键词只读复现; KnowledgeKeywordQueryTest; KnowledgeOwnerScopeTest","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","发布后普通账号按原关键词搜索复验"
"CF-34","online_data","save_form","api/online-data/capture-ctrip-browser","409","1","1","2026-08-31 22:20:17","2026-08-31 22:20:17","候选分支已确定，历史原因待证","Profile绑定冲突或同Profile任务锁占用会返回409","保留绑定/锁状态回执，未触发浏览器采集","合理绑定/资源锁保护保留；历史分支待证","保留绑定与锁冲突，允许记录安全原因/阶段，不启动真实浏览器采集","线上生产源码分支检查; FailureEvidenceService允许列表","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","历史1条缺具体分支；有权现场操作时按请求编号核验"
"CF-35","security","protected_access_denied","api/agent/system-guidance","403","1","1","2026-08-31 22:18:47","2026-08-31 22:18:47","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-36","security","protected_access_denied","api/operation/operating-sops","403","1","1","2026-08-28 18:28:39","2026-08-28 18:28:39","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
